1	The table shows that lower temperatures are males and higher temperatures are female
1	Yes this is true because I sorted the temps from low to high, and on average the lower temps were all male hatching. and the high temps were all female, so yes there is a correlation between sand temperature and the the gender of the eggs of leatherback turtles.
1	sometimes the female leatherbacks are born around 84 degrees to 87 degrees.
1	In the data if we take the oldest date and the newest date, we will see that the water is accutaully is increasing.
1	"For the first 2 data reports, both ""butterflies"" were outside. 2\'s butterfly was outside in warmer weather, and was a chrysalis already. 1\'s butterfly\'s was in a cooler weather than 2 so warmer weather does speed up the life cycle of a butterfly."
1	I think it is false. So look at the chart at 1960 the temperature is 84.56 but almost every year after that it has been 85 or 86 but some have been 84 but most are higher on 84. But on 1964,1970 and 1972 are all lower but it said that it has been decreasing since 1960 which means every year after that but way more are higher plus the last year is 85.57 which is also higher.
1	I think this claim is true because, when I organized the data by temperature, I saw some patterns. First, when the eggs were in the 54 - 59.36 degree range, they were all caterpillars. Second, when the eggs were in the 59.37 - 60.90 degree range, they were a mixture of caterpillars and chrysalises. Lastly, when the eggs were in the 60.91 - 64 degree range, they were all chrysalises. That is why I think the claim is true. The temperature of a monarch butterfly's habitat does affect how quickly it goes through its life cycle stages.
1	The sand temperature affects whether leather-back eggs hatch as male or female because scientific research proves that when the eggs have been laid in warmer sand, the turtle is a female. When the egg is laid in cooler sand, the turtle is a male. Also, These turtles have been laid in different locations. So we know that in Playa the turtles don't tend to be female. That part is totally random. The Male and Female's were both scattered around Playa and Surname.
1	the temp is increasing
1	I found that the butterflies grow more in warmer weather.   The butterflies in 54 degrees were still in the caterpillar stage.  But in the 62 degree range they were in the chrysalis stage.  That shows they grew more.
1	females only hatch above 85 degrees and males hatch at 85 degrees and lower
1	I think it is true because in the data the lower temperature the more males and the higher temperature the more females.
1	The highest temperatures of sand are normally when females are born. The lowest temperatures are mostly male.
1	i think this claim is true because when the temperature  is warmer most of the butterflies stay inside. When, the temperature is colder most of them stay outside to make there chrysalis.
1	when it is the warmer climates the eggs are female and when the climates are below 85  they are male
1	higher the temperature the more females hatched
1	When I was looking at the evidence, I noticed that all of the males were in sand of the temperature 85.19, and lower. all of the females were born at the temperature of 84.20 and higher. So to conclude the males are born at colder temperatures, and the females were born at slightly warmer temperatures.
1	I think that the graf maps it clear that the populaeshun is going down.
